# Слова с кривым переводом в базе — чиним перевод, тему и, если надо, артикль.
# Разбор 31.07.2026. Формат: слово<TAB>что было записано.

Anpfiff	свисток к началу (матча)
Anrichte	буфет, сервант
Apfel	яблоня (дерево)
Aufzug	подход (облаков)
Bagger	экскаватор (игрушка)
Balken	полоса (диаграммы)
Ballerina	балетка
Band	том (книги)
Begehr	желание
Bermuda	бермуды
Birma	бирманская кошка
Bock	гимнастический козёл
Bruch	топь, заболоченная местность
Clip	клипса (зажим для украшений)
Dame	ферзь (шахматы); дама (игра)
Deck	колода (карт)
Diamant	бриллиант (как средство хранения ценностей)
Dose	коробка (розеточная)
Durchschlag	копия, дубликат
Einlage	прокладка (для шитья)
Flamme	фламме (цветок)
Flanke	бок
Flugzeug	самолёт (игрушка)
Front	кухонный фасад
Früh	раннее утро
Föhn	фён (тёплый ветер)
Garnele	креветка (как аквариумное животное)
Haube	колпак (парикмахерский)
Hebamme	шпатель (слесарный инструмент)
Hechtbarsch	судак
Herz	червы (масть)
Hut	осторожность (auf der Hut sein)
Instanz	инстанция (в смысле высшее решение/ради совести)
Jogger	джоггеры
Kaffee	кофейное дерево
Kahn	барка, лодка
Kanal	канал (кабельный)
Kante	ребро (граница фигуры)
Karo	бубны (масть)
Karte	карта (электрическая)
Kiefer	сосна
Kombination	комбинация (белье)
Korn	хлебная водка (шнапс)
Kreuz	крести (масть)
Kunde	весть; учение (напр. Erdkunde)
Kurs	курс обмена
Laster	грузовик (игрушка)
Leine	дорожка (для плавания)
Melone	котелок (шляпа)
Million	миллион (наличные деньги)
Mühle	мельница (игра)
Passion	пассионы
Pfeile	стрела (инструментальный наконечник)
Pflaster	мощение, плитка
Pik	зуб на кого-то, затаённая обида
Punkt	штрафной балл
Reibe	терка (строительная)
Reling	рельс для кухонных принадлежностей
Riemen	ремень (двигателя)
Ring	кольцевая улица
Rock	рок
Rolle	рулон
Scheibe	стекло (машины)
Schirm	абажур
Schleuder	центрифуга
Schnecke	улитка (ухо)
Schneeball	калина
Schoner	защита
See	море
Senf	горчица (растение)
Service	сервиз (посуда)
Silicon	силикон
Strom	поток, большая река
Tacker	степлер (строительный)
Taille	плотина (в устаревшем значении), талия
Tor	глупец (устар.)
Trieb	побег
Umzug	шествие, парад
Vorderseite	передняя сторона (бедра/голени)
Wagen	вагончик (жилой)
Winde	вьюнок
Zitrone	лимонное дерево
